Prolific ID,ProificId,NumUserCommentsCreated,NumActorPostsLiked,NumActorPostsShared,NumActorCommentsLiked,UserPostsCreated,UserCommentsCreated,ActorPostsLiked(ImageName),ActorPostsLiked(PostID),ActorPostsShared(ImageName),ActorPostsShared(PostID),ActorCommentsLiked,TimeOnSite,"TimeSpentEachPost(ImageName,Time)","TimeSpentEachPost(PostID,Time)",PostLookup(PostID=ImageName),PageLog
,maoegg,1,0,2,0,,"erq, on Post t02lib-real.jpg (PostID 1), on Day 1
",,,"t30lib-real.jpg,t02lib-real.jpg","31,1",,169009,"[t30lib-real.jpg,216573];[t02lib-real.jpg,203755];[t15lib-real.jpg,2491];[t29lib-real.jpg,2475];[t09lib-real.jpg,1741];[t13lib-real.jpg,1802];[t14lib-real.jpg,1883];[t05lib-real.jpg,1717];[t06lib-real.jpg,1951];[t27lib-real.jpg,1986];[t19lib-real.jpg,2059];[t17lib-real.jpg,2153];[t28lib-real.jpg,2103];[t01lib-real.jpg,2378];[t11lib-real.jpg,1827];[t04lib-real.jpg,1858];[t03lib-real.jpg,2342];[t20lib-real.jpg,2450];[t21lib-real.jpg,1692];[t26lib-real.jpg,2028]","[31,216573];[1,203755];[14,2491];[29,2475];[7,1741];[12,1802];[13,1883];[3,1717];[4,1951];[26,1986];[18,2059];[16,2153];[27,2103];[0,2378];[10,1827];[2,1858];[9,2342];[19,2450];[20,1692];[25,2028]",31=t30lib-real.jpg;1=t02lib-real.jpg;14=t15lib-real.jpg;29=t29lib-real.jpg;7=t09lib-real.jpg;12=t13lib-real.jpg;13=t14lib-real.jpg;3=t05lib-real.jpg;4=t06lib-real.jpg;26=t27lib-real.jpg;18=t19lib-real.jpg;16=t17lib-real.jpg;27=t28lib-real.jpg;0=t01lib-real.jpg;10=t11lib-real.jpg;2=t04lib-real.jpg;9=t03lib-real.jpg;19=t20lib-real.jpg;20=t21lib-real.jpg;25=t26lib-real.jpg,"/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/,/newsfeed/condition/"
,food,0,0,0,0,,,,,,,,0,,,,
,werwer,0,0,0,0,,,,,,,,57028,"[t30lib-ai.png,2245];[t21lib-ai.png,1766];[t29lib-real.jpg,1966];[t11lib-ai.png,2233];[t20lib-ai.png,5100];[t06lib-ai.png,1585];[t01lib-ai.png,3065];[t10lib-ai.png,2166];[t22lib-ai.png,4899];[t23lib-ai.png,10245]","[64,2245];[55,1766];[29,1966];[45,2233];[54,5100];[39,1585];[35,3065];[43,2166];[56,4899];[57,10245]",64=t30lib-ai.png;55=t21lib-ai.png;29=t29lib-real.jpg;45=t11lib-ai.png;54=t20lib-ai.png;39=t06lib-ai.png;35=t01lib-ai.png;43=t10lib-ai.png;56=t22lib-ai.png;57=t23lib-ai.png,/newsfeed/condition/
,ergetret,0,0,0,0,,,,,,,,0,"[t30con-ai.png,3990]","[64,3990]",64=t30con-ai.png,/newsfeed/condition/
,wrwere,0,0,0,0,,,,,,,,58422,"[t30con-real.jpg,3869];[t13con-ai.png,2062];[t23con-real.jpg,33145]","[64,3869];[40,2062];[22,33145]",64=t30con-real.jpg;40=t13con-ai.png;22=t23con-real.jpg,/newsfeed/condition/
,ewr,0,0,0,0,,,,,,,,62597,"[t30lib-real.jpg,4756];[t11lib-real.jpg,3451];[t04lib-real.jpg,2382];[t14lib-real.jpg,2951];[t20lib-real.jpg,1649];[t06lib-real.jpg,1501];[t27lib-ai.png,1534];[t26lib-real.jpg,6715];[t19lib-real.jpg,2517];[t17lib-real.jpg,2017];[t10lib-real.jpg,3150];[t22lib-real.jpg,2517];[t16lib-real.jpg,3432];[t23lib-real.jpg,7590];[t02lib-real.jpg,1517]","[31,4756];[10,3451];[2,2382];[13,2951];[19,1649];[4,1501];[61,1534];[25,6715];[18,2517];[16,2017];[8,3150];[21,2517];[15,3432];[22,7590];[1,1517]",31=t30lib-real.jpg;10=t11lib-real.jpg;2=t04lib-real.jpg;13=t14lib-real.jpg;19=t20lib-real.jpg;4=t06lib-real.jpg;61=t27lib-ai.png;25=t26lib-real.jpg;18=t19lib-real.jpg;16=t17lib-real.jpg;8=t10lib-real.jpg;21=t22lib-real.jpg;15=t16lib-real.jpg;22=t23lib-real.jpg;1=t02lib-real.jpg,/newsfeed/condition/
,wqewq,1,13,1,0,,"test, on Post t08con-real.jpg (PostID 6), on Day 1
","t01con-ai.png,t27con-ai.png,t06con-real.jpg,t20con-ai.png,t14con-real.jpg,t04con-real.jpg,t29con-real.jpg,t09con-real.jpg,t05con-ai.png,t21con-real.jpg,t15con-real.jpg,t02con-real.jpg,t30con-ai.png","28,54,4,47,13,2,63,7,31,20,14,1,64",t17con-real.jpg,16,,144897,"[t23con-real.jpg,13952];[t16con-ai.png,10601];[t12con-real.jpg,1900];[t22con-ai.png,3167];[t10con-ai.png,8934];[t08con-real.jpg,0];[t03con-real.jpg,2100];[t01con-ai.png,0];[t17con-real.jpg,0];[t28con-real.jpg,2417];[t19con-real.jpg,3282];[t26con-real.jpg,8767];[t27con-ai.png,5617];[t06con-real.jpg,8083];[t20con-ai.png,2684];[t14con-real.jpg,2299];[t04con-real.jpg,3951];[t11con-ai.png,2483];[t13con-ai.png,5551];[t29con-real.jpg,3601];[t09con-real.jpg,1850];[t05con-ai.png,3184];[t21con-real.jpg,3217];[t15con-real.jpg,2534];[t02con-real.jpg,1801];[t30con-ai.png,13316]","[22,13952];[43,10601];[11,1900];[49,3167];[36,8934];[6,0];[9,2100];[28,0];[16,0];[27,2417];[18,3282];[25,8767];[54,5617];[4,8083];[47,2684];[13,2299];[2,3951];[38,2483];[40,5551];[63,3601];[7,1850];[31,3184];[20,3217];[14,2534];[1,1801];[64,13316]",22=t23con-real.jpg;43=t16con-ai.png;11=t12con-real.jpg;49=t22con-ai.png;36=t10con-ai.png;6=t08con-real.jpg;9=t03con-real.jpg;28=t01con-ai.png;16=t17con-real.jpg;27=t28con-real.jpg;18=t19con-real.jpg;25=t26con-real.jpg;54=t27con-ai.png;4=t06con-real.jpg;47=t20con-ai.png;13=t14con-real.jpg;2=t04con-real.jpg;38=t11con-ai.png;40=t13con-ai.png;63=t29con-real.jpg;7=t09con-real.jpg;31=t05con-ai.png;20=t21con-real.jpg;14=t15con-real.jpg;1=t02con-real.jpg;64=t30con-ai.png,/newsfeed/condition/
,jfkfgjglk;sjg;l,1,1,1,0,,"test, on Post t12lib-real.jpg (PostID 11), on Day 1
",t01lib-real.jpg,0,t12lib-real.jpg,11,,0,"[t30lib-real.jpg,7669];[t02lib-real.jpg,2363];[t01lib-real.jpg,3517];[t17lib-real.jpg,1520];[t12lib-real.jpg,2265];[t16lib-real.jpg,12061];[t23lib-real.jpg,10346]","[31,7669];[1,2363];[0,3517];[16,1520];[11,2265];[15,12061];[22,10346]",31=t30lib-real.jpg;1=t02lib-real.jpg;0=t01lib-real.jpg;16=t17lib-real.jpg;11=t12lib-real.jpg;15=t16lib-real.jpg;22=t23lib-real.jpg,/newsfeed/condition/
,fd,0,2,0,0,,,"t30lib-real.jpg,t23lib-real.jpg","31,22",,,,80208,"[t30lib-real.jpg,15363];[t02lib-real.jpg,15921];[t15lib-real.jpg,8772];[t21lib-real.jpg,10858];[t23lib-real.jpg,47840];[t16lib-real.jpg,48166];[t22lib-real.jpg,13968];[t12lib-real.jpg,14189];[t05lib-ai.png,8926];[t09lib-real.jpg,9009];[t13lib-ai.png,9160];[t04lib-real.jpg,9302];[t11lib-real.jpg,9232];[t28lib-real.jpg,11539];[t20lib-real.jpg,9461];[t08lib-real.jpg,12112];[t06lib-real.jpg,9539];[t27lib-ai.png,9618];[t26lib-real.jpg,11233];[t29lib-real.jpg,9079];[t01lib-real.jpg,11828];[t19lib-real.jpg,11393];[t14lib-real.jpg,9387];[t17lib-real.jpg,11684];[t03lib-real.jpg,11974];[t10lib-real.jpg,12261]","[31,15363];[1,15921];[14,8772];[20,10858];[22,47840];[15,48166];[21,13968];[11,14189];[38,8926];[7,9009];[47,9160];[2,9302];[10,9232];[27,11539];[19,9461];[6,12112];[4,9539];[61,9618];[25,11233];[29,9079];[0,11828];[18,11393];[13,9387];[16,11684];[9,11974];[8,12261]",31=t30lib-real.jpg;1=t02lib-real.jpg;14=t15lib-real.jpg;20=t21lib-real.jpg;22=t23lib-real.jpg;15=t16lib-real.jpg;21=t22lib-real.jpg;11=t12lib-real.jpg;38=t05lib-ai.png;7=t09lib-real.jpg;47=t13lib-ai.png;2=t04lib-real.jpg;10=t11lib-real.jpg;27=t28lib-real.jpg;19=t20lib-real.jpg;6=t08lib-real.jpg;4=t06lib-real.jpg;61=t27lib-ai.png;25=t26lib-real.jpg;29=t29lib-real.jpg;0=t01lib-real.jpg;18=t19lib-real.jpg;13=t14lib-real.jpg;16=t17lib-real.jpg;9=t03lib-real.jpg;8=t10lib-real.jpg,"/newsfeed/condition/,/newsfeed/condition/"
,werew,1,2,1,0,,"test, on Post t01con-ai.png (PostID 28), on Day 1
","t08con-ai.png,t22con-ai.png","34,49",t03con-real.jpg,9,,71157,"[t30con-ai.png,9425];[t02con-ai.png,1865];[t15con-real.jpg,1583];[t21con-ai.png,3881];[t05con-ai.png,2982];[t29con-real.jpg,1882];[t13con-ai.png,1617];[t27con-ai.png,1883];[t26con-ai.png,1600];[t01con-ai.png,1782];[t03con-real.jpg,2850];[t08con-ai.png,1634];[t10con-ai.png,2016];[t22con-ai.png,4351];[t12con-real.jpg,0];[t16con-ai.png,4217];[t23con-ai.png,4185];[t30lib-ai.png,1929];[t05lib-ai.png,2099];[t29lib-real.jpg,12121];[t13lib-ai.png,11013]","[64,9425];[29,1865];[14,1583];[48,3881];[31,2982];[63,1882];[40,1617];[54,1883];[53,1600];[28,1782];[9,2850];[34,1634];[36,2016];[49,4351];[11,0];[43,4217];[50,4185];[64,1929];[38,2099];[29,12121];[47,11013]",64=t30con-ai.png;29=t02con-ai.png;14=t15con-real.jpg;48=t21con-ai.png;31=t05con-ai.png;63=t29con-real.jpg;40=t13con-ai.png;54=t27con-ai.png;53=t26con-ai.png;28=t01con-ai.png;9=t03con-real.jpg;34=t08con-ai.png;36=t10con-ai.png;49=t22con-ai.png;11=t12con-real.jpg;43=t16con-ai.png;50=t23con-ai.png;64=t30lib-ai.png;38=t05lib-ai.png;29=t29lib-real.jpg;47=t13lib-ai.png,"/newsfeed/condition/,/newsfeed/condition/"
,dwwq,0,0,0,0,,,,,,,,0,,,,/newsfeed/condition/
,5bc9f8b677740000016a08b5,0,0,0,0,,,,,,,,149487,"[t30con-real.jpg,6508];[t02con-real.jpg,2584];[t15con-real.jpg,1865];[t21con-real.jpg,3600];[t05con-ai.png,10000];[t09con-real.jpg,6834];[t29con-real.jpg,9365];[t13con-ai.png,9233];[t11con-real.jpg,6966];[t04con-real.jpg,5801];[t14con-real.jpg,4434];[t20con-real.jpg,8766];[t06con-real.jpg,3550];[t27con-ai.png,4933];[t26con-real.jpg,6051];[t19con-real.jpg,3399];[t28con-real.jpg,4516];[t17con-real.jpg,4965];[t01con-real.jpg,5065];[t03con-real.jpg,3366];[t08con-real.jpg,4044];[t10con-real.jpg,5067];[t22con-real.jpg,6900];[t12con-real.jpg,4334];[t16con-real.jpg,3715];[t23con-real.jpg,9493]","[64,6508];[1,2584];[14,1865];[20,3600];[31,10000];[7,6834];[63,9365];[40,9233];[10,6966];[2,5801];[13,4434];[19,8766];[4,3550];[54,4933];[25,6051];[18,3399];[27,4516];[16,4965];[0,5065];[9,3366];[6,4044];[8,5067];[21,6900];[11,4334];[15,3715];[22,9493]",64=t30con-real.jpg;1=t02con-real.jpg;14=t15con-real.jpg;20=t21con-real.jpg;31=t05con-ai.png;7=t09con-real.jpg;63=t29con-real.jpg;40=t13con-ai.png;10=t11con-real.jpg;2=t04con-real.jpg;13=t14con-real.jpg;19=t20con-real.jpg;4=t06con-real.jpg;54=t27con-ai.png;25=t26con-real.jpg;18=t19con-real.jpg;27=t28con-real.jpg;16=t17con-real.jpg;0=t01con-real.jpg;9=t03con-real.jpg;6=t08con-real.jpg;8=t10con-real.jpg;21=t22con-real.jpg;11=t12con-real.jpg;15=t16con-real.jpg;22=t23con-real.jpg,/newsfeed/condition/
,6a11f7b5ae962e370425461e,5,11,6,0,,"Thankful for Trump, on Post t30con-real.jpg (PostID 64), on Day 1
Help US companies, on Post t21con-real.jpg (PostID 20), on Day 1
Yikes, on Post t20con-real.jpg (PostID 19), on Day 1
Lol, on Post t19con-real.jpg (PostID 18), on Day 1
Love to see it, on Post t03con-real.jpg (PostID 9), on Day 1
","t30con-real.jpg,t21con-real.jpg,t05con-real.jpg,t11con-real.jpg,t04con-real.jpg,t28con-real.jpg,t17con-real.jpg,t01con-real.jpg,t03con-real.jpg,t12con-real.jpg,t23con-real.jpg","64,20,3,10,2,27,16,0,9,11,22","t15con-real.jpg,t29con-real.jpg,t06con-real.jpg,t17con-real.jpg,t08con-real.jpg,t10con-real.jpg","14,63,4,16,6,8",,118509,"[t30con-real.jpg,2685];[t02con-real.jpg,1587];[t15con-real.jpg,2901];[t21con-real.jpg,5416];[t05con-real.jpg,4167];[t09con-real.jpg,4518];[t29con-real.jpg,3499];[t13con-real.jpg,2650];[t11con-real.jpg,2267];[t04con-real.jpg,0];[t14con-real.jpg,4250];[t20con-real.jpg,4599];[t06con-real.jpg,0];[t26con-real.jpg,1767];[t19con-real.jpg,0];[t28con-real.jpg,0];[t17con-real.jpg,0];[t01con-real.jpg,2508];[t03con-real.jpg,0];[t08con-real.jpg,4100];[t10con-real.jpg,0];[t12con-real.jpg,1567];[t16con-real.jpg,2612];[t23con-real.jpg,4321]","[64,2685];[1,1587];[14,2901];[20,5416];[3,4167];[7,4518];[63,3499];[12,2650];[10,2267];[2,0];[13,4250];[19,4599];[4,0];[25,1767];[18,0];[27,0];[16,0];[0,2508];[9,0];[6,4100];[8,0];[11,1567];[15,2612];[22,4321]",64=t30con-real.jpg;1=t02con-real.jpg;14=t15con-real.jpg;20=t21con-real.jpg;3=t05con-real.jpg;7=t09con-real.jpg;63=t29con-real.jpg;12=t13con-real.jpg;10=t11con-real.jpg;2=t04con-real.jpg;13=t14con-real.jpg;19=t20con-real.jpg;4=t06con-real.jpg;25=t26con-real.jpg;18=t19con-real.jpg;27=t28con-real.jpg;16=t17con-real.jpg;0=t01con-real.jpg;9=t03con-real.jpg;6=t08con-real.jpg;8=t10con-real.jpg;11=t12con-real.jpg;15=t16con-real.jpg;22=t23con-real.jpg,/newsfeed/condition/
,6a08ee0266d035b6762cd22b,0,3,0,0,,,"t13lib-ai.png,t14lib-ai.png,t23lib-ai.png","47,48,57",,,,316171,"[t30lib-ai.png,9622];[t02lib-ai.png,4402];[t15lib-real.jpg,22132];[t21lib-ai.png,23312];[t05lib-ai.png,5695];[t09lib-ai.png,10611];[t29lib-real.jpg,3175];[t13lib-ai.png,10579];[t11lib-ai.png,7492];[t14lib-ai.png,14573];[t04lib-real.jpg,9903];[t20lib-ai.png,6883];[t06lib-ai.png,6730];[t27lib-ai.png,8570];[t26lib-ai.png,17779];[t28lib-ai.png,4139];[t17lib-ai.png,4782];[t19lib-ai.png,4895];[t01lib-ai.png,3461];[t03lib-real.jpg,5067];[t08lib-ai.png,2336];[t22lib-ai.png,5977];[t12lib-real.jpg,7459];[t10lib-ai.png,9800];[t16lib-ai.png,4896];[t23lib-ai.png,8069]","[64,9622];[36,4402];[14,22132];[55,23312];[38,5695];[42,10611];[29,3175];[47,10579];[45,7492];[48,14573];[2,9903];[54,6883];[39,6730];[61,8570];[60,17779];[62,4139];[51,4782];[53,4895];[35,3461];[9,5067];[41,2336];[56,5977];[11,7459];[43,9800];[50,4896];[57,8069]",64=t30lib-ai.png;36=t02lib-ai.png;14=t15lib-real.jpg;55=t21lib-ai.png;38=t05lib-ai.png;42=t09lib-ai.png;29=t29lib-real.jpg;47=t13lib-ai.png;45=t11lib-ai.png;48=t14lib-ai.png;2=t04lib-real.jpg;54=t20lib-ai.png;39=t06lib-ai.png;61=t27lib-ai.png;60=t26lib-ai.png;62=t28lib-ai.png;51=t17lib-ai.png;53=t19lib-ai.png;35=t01lib-ai.png;9=t03lib-real.jpg;41=t08lib-ai.png;56=t22lib-ai.png;11=t12lib-real.jpg;43=t10lib-ai.png;50=t16lib-ai.png;57=t23lib-ai.png,/newsfeed/condition/
,5d42486206811e001ada5b4b,1,2,0,0,,"i agree with this, on Post t21lib-real.jpg (PostID 20), on Day 1
","t21lib-real.jpg,t04lib-real.jpg","20,2",,,,103984,"[t30lib-ai.png,12228];[t02lib-real.jpg,5026];[t15lib-real.jpg,3117];[t21lib-real.jpg,16743];[t05lib-ai.png,8316];[t09lib-real.jpg,4777];[t13lib-ai.png,1633];[t11lib-ai.png,22213];[t04lib-real.jpg,0];[t14lib-real.jpg,4698];[t26lib-real.jpg,2694];[t28lib-real.jpg,4043];[t23lib-real.jpg,6906]","[64,12228];[1,5026];[14,3117];[20,16743];[38,8316];[7,4777];[47,1633];[45,22213];[2,0];[13,4698];[25,2694];[27,4043];[22,6906]",64=t30lib-ai.png;1=t02lib-real.jpg;14=t15lib-real.jpg;20=t21lib-real.jpg;38=t05lib-ai.png;7=t09lib-real.jpg;47=t13lib-ai.png;45=t11lib-ai.png;2=t04lib-real.jpg;13=t14lib-real.jpg;25=t26lib-real.jpg;27=t28lib-real.jpg;22=t23lib-real.jpg,/newsfeed/condition/
,66d59648d2ae3ed38af9f47b,0,2,0,0,,,"t21con-real.jpg,t26con-real.jpg","20,25",,,,276517,"[t30con-ai.png,11312];[t02con-real.jpg,9333];[t15con-real.jpg,19885];[t21con-real.jpg,7698];[t05con-ai.png,13626];[t09con-real.jpg,6017];[t29con-real.jpg,7750];[t13con-ai.png,10500];[t11con-ai.png,66931];[t14con-real.jpg,7133];[t04con-real.jpg,13548];[t20con-ai.png,4099];[t06con-real.jpg,1866];[t27con-ai.png,5416];[t26con-real.jpg,11444];[t19con-real.jpg,4747];[t28con-real.jpg,6600];[t17con-real.jpg,40148];[t01con-ai.png,4482];[t08con-real.jpg,3147];[t10con-ai.png,10747];[t03con-real.jpg,2850];[t22con-ai.png,9800];[t12con-real.jpg,4467];[t16con-ai.png,1982];[t23con-real.jpg,21953]","[64,11312];[1,9333];[14,19885];[20,7698];[31,13626];[7,6017];[63,7750];[40,10500];[38,66931];[13,7133];[2,13548];[47,4099];[4,1866];[54,5416];[25,11444];[18,4747];[27,6600];[16,40148];[28,4482];[6,3147];[36,10747];[9,2850];[49,9800];[11,4467];[43,1982];[22,21953]",64=t30con-ai.png;1=t02con-real.jpg;14=t15con-real.jpg;20=t21con-real.jpg;31=t05con-ai.png;7=t09con-real.jpg;63=t29con-real.jpg;40=t13con-ai.png;38=t11con-ai.png;13=t14con-real.jpg;2=t04con-real.jpg;47=t20con-ai.png;4=t06con-real.jpg;54=t27con-ai.png;25=t26con-real.jpg;18=t19con-real.jpg;27=t28con-real.jpg;16=t17con-real.jpg;28=t01con-ai.png;6=t08con-real.jpg;36=t10con-ai.png;9=t03con-real.jpg;49=t22con-ai.png;11=t12con-real.jpg;43=t16con-ai.png;22=t23con-real.jpg,"/newsfeed/condition/,/newsfeed/condition/"
,6a0429873874cf938dc8f4a4,2,0,0,0,,"hello?, on Post t30con-real.jpg (PostID 64), on Day 1
""Regret"" is spelled wrong, on Post t05con-ai.png (PostID 31), on Day 1
",,,,,,0,"[t30con-real.jpg,45654];[t02con-real.jpg,11037];[t15con-real.jpg,8908];[t21con-real.jpg,13848];[t05con-ai.png,23929];[t09con-real.jpg,5142];[t29con-real.jpg,3626];[t11con-real.jpg,10836];[t04con-real.jpg,1579];[t20con-real.jpg,2684];[t26con-real.jpg,4804];[t17con-real.jpg,1887];[t19con-real.jpg,2392];[t03con-real.jpg,2272];[t23con-real.jpg,4463]","[64,45654];[1,11037];[14,8908];[20,13848];[31,23929];[7,5142];[63,3626];[10,10836];[2,1579];[19,2684];[25,4804];[16,1887];[18,2392];[9,2272];[22,4463]",64=t30con-real.jpg;1=t02con-real.jpg;14=t15con-real.jpg;20=t21con-real.jpg;31=t05con-ai.png;7=t09con-real.jpg;63=t29con-real.jpg;10=t11con-real.jpg;2=t04con-real.jpg;19=t20con-real.jpg;25=t26con-real.jpg;16=t17con-real.jpg;18=t19con-real.jpg;9=t03con-real.jpg;22=t23con-real.jpg,/newsfeed/condition/
,69ed8799a4ccf96e46f8ebac,0,3,0,0,,,"t13lib-real.jpg,t04lib-real.jpg,t27lib-real.jpg","12,2,26",,,,137982,"[t30lib-real.jpg,18145];[t02lib-real.jpg,21811];[t15lib-real.jpg,11630];[t21lib-real.jpg,19575];[t05lib-real.jpg,15036];[t09lib-real.jpg,12799];[t13lib-real.jpg,17369];[t29lib-real.jpg,13382];[t04lib-real.jpg,9177];[t11lib-real.jpg,15660];[t14lib-real.jpg,2784];[t20lib-real.jpg,8199];[t06lib-real.jpg,2246];[t27lib-real.jpg,13623];[t26lib-real.jpg,15339];[t19lib-real.jpg,3782];[t28lib-real.jpg,5338];[t17lib-real.jpg,6085];[t01lib-real.jpg,5491];[t03lib-real.jpg,7272];[t08lib-real.jpg,9479];[t10lib-real.jpg,8115];[t22lib-real.jpg,6607];[t12lib-real.jpg,7170];[t16lib-real.jpg,9234];[t23lib-real.jpg,5533]","[31,18145];[1,21811];[14,11630];[20,19575];[3,15036];[7,12799];[12,17369];[29,13382];[2,9177];[10,15660];[13,2784];[19,8199];[4,2246];[26,13623];[25,15339];[18,3782];[27,5338];[16,6085];[0,5491];[9,7272];[6,9479];[8,8115];[21,6607];[11,7170];[15,9234];[22,5533]",31=t30lib-real.jpg;1=t02lib-real.jpg;14=t15lib-real.jpg;20=t21lib-real.jpg;3=t05lib-real.jpg;7=t09lib-real.jpg;12=t13lib-real.jpg;29=t29lib-real.jpg;2=t04lib-real.jpg;10=t11lib-real.jpg;13=t14lib-real.jpg;19=t20lib-real.jpg;4=t06lib-real.jpg;26=t27lib-real.jpg;25=t26lib-real.jpg;18=t19lib-real.jpg;27=t28lib-real.jpg;16=t17lib-real.jpg;0=t01lib-real.jpg;9=t03lib-real.jpg;6=t08lib-real.jpg;8=t10lib-real.jpg;21=t22lib-real.jpg;11=t12lib-real.jpg;15=t16lib-real.jpg;22=t23lib-real.jpg,/newsfeed/condition/
,69c5b642dccbfc6b24052d11,3,7,0,0,,"what a stooge, on Post t09con-ai.png (PostID 35), on Day 1
These signs are all created by bad AI LOL, on Post t10con-ai.png (PostID 36), on Day 1
Basic Right., on Post t23con-ai.png (PostID 50), on Day 1
","t30con-ai.png,t21con-ai.png,t05con-ai.png,t29con-real.jpg,t04con-real.jpg,t27con-ai.png,t23con-ai.png","64,48,31,63,2,54,50",,,,263561,"[t30con-ai.png,3213];[t02con-ai.png,0];[t15con-real.jpg,2854];[t21con-ai.png,5343];[t05con-ai.png,3821];[t09con-ai.png,0];[t29con-real.jpg,0];[t13con-ai.png,6452];[t11con-ai.png,25267];[t04con-real.jpg,3195];[t14con-ai.png,7957];[t20con-ai.png,2889];[t06con-ai.png,0];[t26con-ai.png,3084];[t27con-ai.png,6862];[t19con-ai.png,0];[t28con-ai.png,0];[t17con-ai.png,3368];[t01con-ai.png,3564];[t03con-real.jpg,5677];[t08con-ai.png,5504];[t10con-ai.png,10271];[t22con-ai.png,4008];[t12con-real.jpg,6250];[t16con-ai.png,12885];[t23con-ai.png,28873]","[64,3213];[29,0];[14,2854];[48,5343];[31,3821];[35,0];[63,0];[40,6452];[38,25267];[2,3195];[41,7957];[47,2889];[32,0];[53,3084];[54,6862];[46,0];[55,0];[44,3368];[28,3564];[9,5677];[34,5504];[36,10271];[49,4008];[11,6250];[43,12885];[50,28873]",64=t30con-ai.png;29=t02con-ai.png;14=t15con-real.jpg;48=t21con-ai.png;31=t05con-ai.png;35=t09con-ai.png;63=t29con-real.jpg;40=t13con-ai.png;38=t11con-ai.png;2=t04con-real.jpg;41=t14con-ai.png;47=t20con-ai.png;32=t06con-ai.png;53=t26con-ai.png;54=t27con-ai.png;46=t19con-ai.png;55=t28con-ai.png;44=t17con-ai.png;28=t01con-ai.png;9=t03con-real.jpg;34=t08con-ai.png;36=t10con-ai.png;49=t22con-ai.png;11=t12con-real.jpg;43=t16con-ai.png;50=t23con-ai.png,/newsfeed/condition/
,6a17359705fb75a4c8812893,2,21,0,0,,"ai, on Post t30lib-real.jpg (PostID 31), on Day 1
ai, on Post t12lib-real.jpg (PostID 11), on Day 1
","t02lib-real.jpg,t15lib-real.jpg,t05lib-real.jpg,t09lib-real.jpg,t29lib-real.jpg,t13lib-real.jpg,t04lib-real.jpg,t14lib-real.jpg,t20lib-real.jpg,t06lib-real.jpg,t27lib-real.jpg,t19lib-real.jpg,t28lib-real.jpg,t01lib-real.jpg,t17lib-real.jpg,t08lib-real.jpg,t10lib-real.jpg,t03lib-real.jpg,t22lib-real.jpg,t23lib-real.jpg,t16lib-real.jpg","1,14,3,7,29,12,2,13,19,4,26,18,27,0,16,6,8,9,21,22,15",,,,0,"[t30lib-real.jpg,15042];[t02lib-real.jpg,29033];[t15lib-real.jpg,6487];[t21lib-real.jpg,8438];[t05lib-real.jpg,9708];[t09lib-real.jpg,5117];[t29lib-real.jpg,8442];[t13lib-real.jpg,8425];[t11lib-real.jpg,5324];[t04lib-real.jpg,4746];[t14lib-real.jpg,9346];[t20lib-real.jpg,8612];[t06lib-real.jpg,7588];[t27lib-real.jpg,9046];[t26lib-real.jpg,15633];[t19lib-real.jpg,18737];[t28lib-real.jpg,3533];[t01lib-real.jpg,5945];[t17lib-real.jpg,8438];[t08lib-real.jpg,5192];[t10lib-real.jpg,4675];[t03lib-real.jpg,4584];[t22lib-real.jpg,8471];[t12lib-real.jpg,4803];[t23lib-real.jpg,5976];[t16lib-real.jpg,6329]","[31,15042];[1,29033];[14,6487];[20,8438];[3,9708];[7,5117];[29,8442];[12,8425];[10,5324];[2,4746];[13,9346];[19,8612];[4,7588];[26,9046];[25,15633];[18,18737];[27,3533];[0,5945];[16,8438];[6,5192];[8,4675];[9,4584];[21,8471];[11,4803];[22,5976];[15,6329]",31=t30lib-real.jpg;1=t02lib-real.jpg;14=t15lib-real.jpg;20=t21lib-real.jpg;3=t05lib-real.jpg;7=t09lib-real.jpg;29=t29lib-real.jpg;12=t13lib-real.jpg;10=t11lib-real.jpg;2=t04lib-real.jpg;13=t14lib-real.jpg;19=t20lib-real.jpg;4=t06lib-real.jpg;26=t27lib-real.jpg;25=t26lib-real.jpg;18=t19lib-real.jpg;27=t28lib-real.jpg;0=t01lib-real.jpg;16=t17lib-real.jpg;6=t08lib-real.jpg;8=t10lib-real.jpg;9=t03lib-real.jpg;21=t22lib-real.jpg;11=t12lib-real.jpg;22=t23lib-real.jpg;15=t16lib-real.jpg,/newsfeed/condition/
